State,Population
Alabama,"5,024,279"
Alaska,"733,391"
Arizona,"113,990"
Arkansas,"53,179"
California,"39,538,223"
Colorado,"104,094"
Connecticut,"3,605,944"
Delaware,"989,948"
Florida,"21,538,187"
Georgia,"59,425"
Hawaii,"10,932"
Idaho,"83,569"
Illinois,"12,812,508"
Indiana,"36,420"
Iowa,"56,273"
Kansas,"2,937,880"
Kentucky,"4,505,836"
Louisiana,"4,657,757"
Maine,"1,362,359"
Maryland,"6,177,224"
Massachusetts,"10,554"
Michigan,"10,077,331"
Minnesota,"5,706,494"
Mississippi,"48,432"
Missouri,"6,154,913"
Montana,"1,084,225"
Nebraska,"1,961,504"
Nevada,"3,104,614"
New Hampshire,"1,377,529"
New Jersey,"9,288,994"
New Mexico,"2,117,522"
New York,"20,201,249"
North Carolina,"10,439,388"
North Dakota,"779,094"
Ohio,"44,826"
Oklahoma,"69,899"
Oregon,"4,237,256"
Pennsylvania,"13,002,700"
Rhode Island,"1,545"
South Carolina,"5,118,425"
South Dakota,"886,667"
Tennessee,"42,144"
Texas,"29,145,505"
Utah,"84,897"
Vermont,"643,077"
Virginia,"8,631,393"
Washington,"7,705,281"
West Virginia,"24,230"
Wisconsin,"5,893,718"
Wyoming,"97,813"
American Samoa,"49,710"
Guam,"153,836"
Northern Mariana Islands,"47,329"
Puerto Rico,"3,285,874"
U.S. Virgin Islands,"87,146"
Bajo Nuevo Bank (Petrel Island),Colombia
Serranilla Bank,Colombia
